N,P,K,Temperature,Humidity,pH,Rainfall,Label
0.4333333333333334,0.04672897196261683,0.10059171597633135,0.7209421764724863,0.5257969279080413,0.3829460655248802,0.03650612781027415,16
0.4055555555555556,0.3177570093457944,0.10650887573964499,0.8305604917490216,0.7580293167224958,0.1717011081894897,0.01705893205535805,16
0.4944444444444445,0.05607476635514019,0.005917159763313612,0.8468368557621139,0.7331498522653043,0.5307103807629858,0.02725315554623131,16
0.5333333333333333,0.12149532710280375,0.05917159763313609,0.6455967661556447,0.5839432280820968,0.30892532665582184,0.013933279655485915,16
0.5444444444444444,0.23364485981308408,0.0769230769230769,0.8814269588203288,0.7073250986027985,0.6136531813467101,0.010540787571746854,16
0.48333333333333334,0.11214953271028039,0.1420118343195266,0.8924127782296171,0.7817663880427137,0.771056309900443,0.04108319696177448,16
0.39444444444444443,0.08411214953271029,0.07100591715976332,0.7310180906476774,0.4888206531732182,0.3528814806561562,0.0019346825248407057,16
0.4444444444444445,0.2616822429906542,0.16568047337278105,0.8851998429571587,0.898923681210894,0.15637310587713493,0.055650946605765236,16
0.4222222222222222,0.2523364485981308,0.09467455621301776,0.9178500829908914,0.5336848596112896,0.5161095467775805,0.02272683857310287,16
0.4222222222222222,0.14953271028037385,0.0650887573964497,0.8792418472589006,0.4895423648467897,0.734495061806477,0.024196764551846064,16
0.41111111111111115,0.04672897196261683,0.10059171597633135,0.8734790579367958,0.4822297390618075,0.21454356452835488,0.06494347596640784,16
0.43888888888888894,0.21495327102803735,0.11834319526627221,0.6751786357746828,0.5242907662427967,0.32561200738477947,0.019648219096502446,16
0.46666666666666673,0.04672897196261683,0.03550295857988167,0.8153859369860675,0.6658442602437643,0.8050578054595607,0.05478288095277829,16
0.4000000000000001,0.11214953271028039,0.08284023668639054,0.7364691400640543,0.9283007471941156,0.49937527735458853,0.04793990846142834,16
0.41111111111111115,0.23364485981308408,0.02958579881656806,0.8310128043437205,0.742290948194902,0.9999999999999998,0.015557607071500196,16
0.4444444444444445,0.2897196261682243,0.05325443786982248,0.910470985500163,0.5901601510248967,0.5084074952874518,0.0034466683757191433,16
0.5166666666666666,0.16822429906542058,0.05917159763313609,0.7781635537979473,0.5114279917198591,0.7282213145713852,0.009930080506611746,16
0.4333333333333334,0.06542056074766356,0.11834319526627221,0.8698923241140434,0.6676894315144652,0.7658864211221001,0.009280648179532704,16
0.5499999999999999,0.3177570093457944,0.17751479289940827,0.8056178621159317,0.7035285986120569,0.5058251572768688,0.0581424329967362,16
0.47222222222222227,0.2616822429906542,0.05325443786982248,0.7418955075434511,0.43541790308685296,0.3855627550654066,0.026260250373060817,16
0.41111111111111115,0.17757009345794394,0.1242603550295858,0.7083960915165152,0.6231533004080713,0.9247919568146068,0.004417592089558317,16
0.4611111111111112,0.19626168224299068,0.10059171597633135,0.7076388718380967,0.3997081472872005,0.6645104087813045,0.05287990473279315,16
0.46666666666666673,0.2803738317757009,0.0650887573964497,0.8072244467689774,0.4703746591832589,0.24300521557949906,0.027729619784579468,16
0.4888888888888889,0.15887850467289721,0.15976331360946747,0.9286808997155723,0.8164553541483562,0.5231563721416677,0.01594487336896968,16
0.4944444444444445,0.04672897196261683,0.10650887573964499,0.8735066233451266,0.8654391351528751,0.9037696742161352,0.06810804282928176,16
0.4888888888888889,0.08411214953271029,0.14792899408284024,0.9222830401225547,0.7941806697714124,0.8976611850055434,0.04224099038922745,16
0.5166666666666666,0.07476635514018692,0.005917159763313612,0.7652848392666401,0.8114454638902671,0.16191812045593101,0.0428556468978481,16
0.45,0.17757009345794394,0.041420118343195284,0.9354162831417053,0.5152237710376769,0.8925094275701604,0.025474463448267592,16
0.4944444444444445,0.11214953271028039,0.08875739644970412,0.918906596282505,0.4342127457562524,0.605545831394745,0.035828578761038996,16
0.4777777777777778,0.06542056074766356,0.07100591715976332,0.9112623981775004,0.5471542376866207,0.42360655612136267,0.0684726061922541,16
0.46666666666666673,0.15887850467289721,0.04733727810650887,0.7426956530885181,0.7611385998265651,0.7635334601208459,0.01240721985992771,16
0.5277777777777778,0.29906542056074764,0.1715976331360947,0.9048208417458453,0.8867810044745147,0.25928024730977306,0.05955332992888321,16
